strike,time_to_expiry,moneyness,type,market_iv,solved_iv,converged
76500,0.00821918,1.00044,P,0.2172,0.192346,1
70000,0.117808,0.91058,C,0.3552,0.352593,1
81000,0.00273973,1.05971,P,0.5535,0.0728332,0
75500,0.00821918,0.987364,P,0.2218,0.196486,1
86000,0.117808,1.11871,C,0.3313,0.328805,1
84000,0.0219178,1.09775,P,0.3709,0.354892,1
120000,0.194521,1.55533,C,0.4501,0.448025,1
180000,0.520548,2.29486,P,0.52,0.518768,1
86000,0.0109589,1.12457,P,0.4541,0.402949,1
65000,0.00273973,0.850372,C,0.9591,0.01,0
72000,0.769863,0.906725,C,0.4019,0.401482,1
79000,0.0410959,1.03151,P,0.3054,0.298681,1
110000,0.769863,1.38529,P,0.4004,0.399957,1
72000,0.00821918,0.941593,C,0.3727,0.332902,1
165000,0.0219178,2.15629,P,0.8525,0.5,0
85000,0.00821918,1.1116,C,0.4853,0.430241,1
69000,0.00273973,0.902702,P,0.7389,0.440111,1
60000,0.0219178,0.784106,C,0.64,0.619048,1
110000,0.0219178,1.43753,P,0.7974,0.716501,1
110000,0.194521,1.42572,C,0.4143,0.412398,1
130000,0.271233,1.6782,C,0.4619,0.460428,1
92000,0.520548,1.17293,C,0.3795,0.37885,1
65000,0.0410959,0.848712,C,0.4196,0.411321,1
73500,0.0109589,0.961117,P,0.2693,0.246685,1
87000,0.117808,1.13172,C,0.3346,0.33212,1
58000,0.769863,0.730417,P,0.4317,0.431178,1
71000,0.194521,0.920234,C,0.3681,0.366449,1
96000,0.520548,1.22393,P,0.3819,0.38128,1
84000,0.00273973,1.09894,P,0.6898,0.53355,1
88000,0.117808,1.14473,C,0.3352,0.332667,1
75000,0.00273973,0.981209,C,0.3022,0.18371,1
84000,0.00821918,1.09851,C,0.4378,0.388068,1
62000,0.117808,0.806514,C,0.4251,0.422079,1
115000,0.0219178,1.50287,P,0.8217,0.01,0
74000,0.769863,0.931922,C,0.3992,0.398759,1
68000,0.769863,0.856361,C,0.4082,0.407695,1
75000,0.0219178,0.980133,C,0.2953,0.283347,1
65000,0.520548,0.8287,P,0.404,0.403318,1
57000,0.117808,0.741472,C,0.49,0.486583,1
210000,0.271233,2.71095,C,0.6438,0.641719,1
92000,0.271233,1.18765,C,0.3658,0.364669,1
240000,0.0219178,3.13643,P,1.156,0.5,0
90000,0.520548,1.14743,C,0.3789,0.378266,1
79000,0.0219178,1.03241,P,0.2951,0.28279,1
78500,0.00547945,1.02681,P,0.2852,0.23518,1
86000,0.271233,1.1102,C,0.3608,0.359672,1
95000,0.0219178,1.2415,P,0.5472,0.514978,1
84000,0.194521,1.08873,C,0.3522,0.350611,1
90000,0.769863,1.13342,P,0.3908,0.390306,1
68000,0.117808,0.884563,P,0.369,0.366229,1
74000,0.060274,0.96538,C,0.3235,0.318814,1
160000,0.520548,2.03985,P,0.4841,0.483462,1
74000,0.271233,0.955275,C,0.3687,0.367553,1
58000,0.0219178,0.757969,P,0.6628,0.635623,1
82000,0.0109589,1.07227,C,0.3368,0.308581,1
76000,0.00273973,0.994292,P,0.2097,0.125309,1
54000,0.271233,0.697093,C,0.4742,0.472642,1
200000,0.271233,2.58182,C,0.6396,0.637476,1
72000,0.060274,0.939288,P,0.3354,0.330482,1
71000,0.194521,0.920234,P,0.3681,0.366452,1
78500,0.00821918,1.0266,P,0.2453,0.216634,1
72000,0.769863,0.906735,P,0.4019,0.401481,1
45000,0.271233,0.580917,C,0.5727,0.57104,1
70000,0.769863,0.881538,C,0.405,0.404494,1
68000,0.271233,0.87783,P,0.3841,0.382832,1
115000,0.271233,1.48457,P,0.4177,0.415981,1
98000,0.520548,1.24942,P,0.3827,0.381994,1
85000,0.0410959,1.10984,C,0.3434,0.335915,1
78000,0.769863,0.982285,P,0.3952,0.394719,1
48000,0.117808,0.624398,P,0.6305,0.625742,1
84000,0.0219178,1.09774,C,0.3709,0.355717,1
102000,0.271233,1.31675,P,0.3816,0.380148,1
120000,0.769863,1.51121,C,0.4101,0.409661,1
90000,0.060274,1.17411,P,0.3699,0.363907,1
77000,0.0109589,1.00688,P,0.2336,0.213789,1
65000,0.0219178,0.849448,P,0.4841,0.464266,1
71000,0.0109589,0.928416,C,0.3464,0.317592,1
83000,0.00547945,1.08567,C,0.4884,0.402354,1
106000,0.769863,1.3349,P,0.3973,0.396912,1
170000,0.520548,2.16737,P,0.5049,0.503747,1
160000,0.0219178,2.09095,P,0.8422,0.5,0
104000,0.117808,1.35286,P,0.4077,0.403959,1
80000,0.0219178,1.04548,P,0.3009,0.288329,1
91000,0.117808,1.18375,P,0.345,0.342245,1
67000,0.00821918,0.876204,C,0.5597,0.51729,1
80500,0.00273973,1.05316,C,0.5023,0.300421,1
90000,0.520548,1.14742,P,0.3789,0.378276,1
74500,0.00273973,0.974657,P,0.3416,0.204296,1
75500,0.00547945,0.987579,C,0.2486,0.20522,1
68000,0.00273973,0.889619,C,0.7441,0.01,0
80000,0.117808,1.04066,P,0.3275,0.324966,1
54000,0.520548,0.688459,P,0.4476,0.44684,1
93000,0.194521,1.20538,C,0.3642,0.362558,1
77000,0.00821918,1.00697,C,0.2191,0.194225,1
77000,0.00547945,1.00719,P,0.2457,0.2025,1
82000,0.00273973,1.07279,C,0.5739,0.343556,1
80000,0.00821918,1.04621,P,0.2928,0.257228,1
60000,0.520548,0.764954,P,0.4208,0.420039,1
65000,0.271233,0.839102,C,0.3958,0.394537,1
110000,0.117808,1.43091,P,0.4361,0.431636,1
76500,0.0109589,1.00034,P,0.2287,0.209545,1
74500,0.0109589,0.974194,P,0.2439,0.223348,1
190000,0.271233,2.45276,C,0.6157,0.613662,1
105000,0.0219178,1.37217,P,0.7369,0.709173,1
79000,0.00547945,1.03336,C,0.3046,0.251008,1
230000,0.271233,2.96913,P,0.6931,0.680317,1
72000,0.0219178,0.940928,C,0.329,0.315849,1
74000,0.00821918,0.967748,C,0.2673,0.238029,1
130000,0.0219178,1.6989,P,0.8226,0.01,0
70000,0.0219178,0.91478,P,0.3674,0.352345,1
150000,0.520548,1.91238,C,0.4672,0.466363,1
45000,0.271233,0.580917,P,0.5727,0.570804,1
83000,0.0109589,1.08534,C,0.366,0.335413,1
67000,0.117808,0.871555,P,0.3767,0.373866,1
72000,0.0410959,0.940101,P,0.3297,0.322576,1
125000,0.769863,1.57417,C,0.4141,0.413629,1
60000,0.769863,0.755604,C,0.4265,0.42604,1
79000,0.194521,1.02392,P,0.3521,0.350472,1
59000,0.117808,0.767489,C,0.4622,0.458877,1
115000,0.769863,1.44824,C,0.4045,0.403984,1
106000,0.520548,1.35142,C,0.3913,0.390687,1
48000,0.117808,0.624398,C,0.6305,0.626234,1
70000,0.0109589,0.91535,C,0.3742,0.348313,1
100000,0.0219178,1.30684,C,0.6505,0.623888,1
98000,0.520548,1.24942,C,0.3827,0.382026,1
88000,0.117808,1.14473,P,0.3352,0.332546,1
102000,0.117808,1.32683,P,0.3978,0.395132,1
85000,0.0410959,1.10984,P,0.3434,0.335964,1
60000,0.0219178,0.784097,P,0.64,0.61381,1
88000,0.194521,1.14057,P,0.3553,0.35367,1
72000,0.271233,0.929467,P,0.3721,0.370859,1
56000,0.520548,0.713957,C,0.4372,0.436527,1
76500,0.0109589,1.00034,C,0.2287,0.209564,1
105000,0.194521,1.36091,P,0.3972,0.395413,1
75000,0.060274,0.978425,C,0.3189,0.314299,1
55000,0.769863,0.692637,C,0.4417,0.441166,1
93000,0.194521,1.20538,P,0.3642,0.362564,1
108000,0.194521,1.39979,P,0.4072,0.405411,1
80000,0.0410959,1.04456,P,0.3085,0.301792,1
68000,0.00821918,0.889282,C,0.5498,0.498116,1
56000,0.271233,0.722919,C,0.4581,0.456679,1
52000,0.0219178,0.679551,P,0.9004,0.863515,1
86000,0.520548,1.09643,P,0.3776,0.37695,1
80000,0.00273973,1.04661,C,0.4544,0.271692,1
40000,0.520548,0.509969,P,0.5431,0.542225,1
120000,0.520548,1.52991,C,0.4107,0.410021,1
80000,0.117808,1.04066,C,0.3275,0.325027,1
140000,0.769863,1.7631,C,0.4328,0.432328,1
67000,0.194521,0.86839,C,0.3854,0.383692,1
96000,0.117808,1.2488,P,0.3679,0.364892,1
77000,0.0109589,1.00688,C,0.2336,0.214095,1
56000,0.520548,0.713957,P,0.4372,0.436497,1
56000,0.769863,0.70523,C,0.4387,0.438198,1
64000,0.0219178,0.83638,C,0.5223,0.503664,1
70000,0.00547945,0.915636,P,0.5719,0.471145,1
94000,0.769863,1.18379,C,0.3915,0.391022,1
200000,0.769863,2.51868,P,0.5045,0.50416,1
78000,0.194521,1.01096,C,0.3535,0.351917,1
220000,0.0219178,2.87502,P,1.0736,0.5,0
62000,0.194521,0.803585,P,0.4194,0.417487,1
78000,0.00547945,1.02028,P,0.2674,0.219583,1
50000,0.271233,0.645463,C,0.5141,0.512607,1
82000,0.00273973,1.07278,P,0.5739,0.407346,1
45000,0.117808,0.585373,P,0.6821,0.677023,1
69000,0.117808,0.897572,C,0.3619,0.359232,1
78000,0.00821918,1.02006,C,0.2349,0.208292,1
84000,0.769863,1.05786,C,0.3918,0.391361,1
40000,0.0219178,0.522738,P,1.0505,0.5,0
280000,0.0219178,3.65916,P,1.2987,0.5,0
69000,0.117808,0.897572,P,0.3619,0.359154,1
82000,0.00547945,1.07259,C,0.433,0.356725,1
82000,0.194521,1.06281,P,0.3518,0.350216,1
62000,0.117808,0.806514,P,0.4251,0.421928,1
81000,0.00273973,1.05971,C,0.5535,0.331058,1
88000,0.769863,1.10822,P,0.3913,0.390881,1
40000,0.117808,0.520331,C,0.7553,0.750619,1
86000,0.117808,1.11871,P,0.3313,0.328707,1
85000,0.0109589,1.11148,P,0.4124,0.377131,1
82000,0.520548,1.04544,P,0.3773,0.376636,1
64000,0.271233,0.826193,C,0.402,0.400775,1
95000,0.520548,1.21116,P,0.3814,0.380788,1
95000,0.271233,1.22638,C,0.3689,0.367682,1
76500,0.00547945,1.00065,C,0.2433,0.200469,1
95000,0.0219178,1.2415,C,0.5472,0.524834,1
105000,0.194521,1.36091,C,0.3972,0.395412,1
94000,0.194521,1.21834,C,0.3649,0.363285,1
35000,0.0219178,0.457395,C,1.0855,0.5,0
240000,0.271233,3.09822,P,0.7158,0.236362,0
88000,0.00273973,1.15127,P,0.8951,0.775518,1
105000,0.769863,1.32232,C,0.3965,0.39606,1
86000,0.271233,1.1102,P,0.3608,0.3596,1
80500,0.00273973,1.05316,P,0.5023,0.01,0
73000,0.00547945,0.954866,C,0.3924,0.322924,1
75500,0.0109589,0.98727,C,0.2302,0.211171,1
150000,0.520548,1.91236,P,0.4672,0.466524,1
71000,0.00547945,0.928717,C,0.4952,0.414786,1
79000,0.00821918,1.03314,C,0.2607,0.231188,1
84000,0.194521,1.08873,P,0.3522,0.35061,1
45000,0.0219178,0.58808,P,1.0182,0.976385,1
79500,0.0109589,1.03958,P,0.2707,0.247137,1
20000,0.271233,0.258185,C,1.0072,1.00479,1
110000,0.520548,1.40242,C,0.3948,0.394157,1
125000,0.520548,1.59365,C,0.419,0.418315,1
150000,0.271233,1.93637,P,0.5221,0.520269,1
120000,0.769863,1.51121,P,0.4101,0.409694,1
87000,0.117808,1.13171,P,0.3346,0.332151,1
63000,0.117808,0.819522,P,0.414,0.410852,1
77000,0.060274,1.00452,C,0.3124,0.307825,1
64000,0.769863,0.805986,P,0.416,0.415487,1
65000,0.769863,0.818571,C,0.4144,0.413951,1
95000,0.769863,1.19637,C,0.3914,0.390989,1
65000,0.060274,0.847959,P,0.4149,0.408758,1
98000,0.271233,1.26509,C,0.3747,0.373473,1
79000,0.117808,1.02765,P,0.3274,0.324888,1
75000,0.0109589,0.980721,P,0.235,0.215291,1
78000,0.00821918,1.02006,P,0.2349,0.207657,1
73500,0.00547945,0.961418,C,0.3528,0.292547,1
98000,0.117808,1.27481,C,0.379,0.376136,1
108000,0.271233,1.39419,P,0.3978,0.396475,1
74000,0.769863,0.931922,P,0.3992,0.398742,1
66000,0.194521,0.855429,C,0.3894,0.387673,1
86000,0.0219178,1.12387,C,0.4077,0.39097,1
115000,0.271233,1.48457,C,0.4177,0.416355,1
78500,0.00821918,1.0266,C,0.2453,0.217526,1
140000,0.520548,1.78489,P,0.4458,0.444873,1
80000,0.271233,1.03274,P,0.3626,0.361407,1
56000,0.0219178,0.731833,P,0.7364,0.706237,1
73500,0.00547945,0.961406,P,0.3528,0.290701,1
70000,0.520548,0.892436,P,0.3913,0.390691,1
86000,0.769863,1.08303,C,0.391,0.390588,1
74500,0.00821918,0.974287,P,0.2474,0.219197,1
100000,0.194521,1.2961,C,0.3834,0.381676,1
64000,0.520548,0.815951,C,0.4068,0.406174,1
82000,0.271233,1.05855,P,0.3608,0.35961,1
90000,0.271233,1.16182,P,0.363,0.361822,1
79000,0.060274,1.03061,P,0.3106,0.305972,1
50000,0.520548,0.637462,C,0.4706,0.469824,1
74000,0.117808,0.962613,P,0.3387,0.336134,1
140000,0.769863,1.7631,P,0.4328,0.432255,1
180000,0.271233,2.32364,P,0.5935,0.591289,1
83000,0.0219178,1.08468,C,0.3502,0.335891,1
84000,0.00821918,1.09852,P,0.4378,0.372627,1
74000,0.060274,0.96538,P,0.3235,0.318693,1
73000,0.060274,0.952323,C,0.3265,0.321656,1
95000,0.0410959,1.24041,C,0.4657,0.455624,1
110000,0.194521,1.42571,P,0.4143,0.412397,1
76000,0.769863,0.957098,C,0.397,0.396589,1
35000,0.271233,0.451824,P,0.7155,0.713117,1
150000,0.0219178,1.96027,P,0.8397,0.5,0
82000,0.0410959,1.07067,P,0.3183,0.31146,1
61000,0.117808,0.793505,C,0.4364,0.433327,1
50000,0.520548,0.637462,P,0.4706,0.469785,1
92000,0.117808,1.19676,P,0.3486,0.345757,1
85000,0.060274,1.10888,P,0.3317,0.326592,1
77000,0.00273973,1.00736,P,0.2171,0.130027,1
190000,0.520548,2.42235,C,0.5386,0.537644,1
110000,0.271233,1.42002,C,0.4068,0.405481,1
70000,0.0410959,0.913987,C,0.3502,0.342609,1
79500,0.00273973,1.04007,P,0.3934,0.249724,1
76000,0.00821918,0.993903,P,0.2197,0.194646,1
190000,0.769863,2.39277,P,0.4949,0.494126,1
88000,0.0219178,1.15001,P,0.4388,0.4211,1
71000,0.00821918,0.928515,C,0.4155,0.372283,1
68000,0.00547945,0.889475,P,0.6575,0.541687,1
82000,0.060274,1.06975,P,0.3163,0.311497,1
102000,0.769863,1.28453,P,0.3945,0.394098,1
73000,0.0109589,0.954579,C,0.2847,0.262026,1
78500,0.00547945,1.02682,C,0.2852,0.235082,1
98000,0.117808,1.27481,P,0.379,0.375764,1
76000,0.520548,0.968942,P,0.3815,0.380838,1
64000,0.117808,0.832521,C,0.402,0.398979,1
76000,0.0219178,0.99319,C,0.2909,0.278935,1
110000,0.0219178,1.43753,C,0.7974,0.764722,1
82000,0.271233,1.05855,C,0.3608,0.359614,1
115000,0.194521,1.49052,P,0.4328,0.430854,1
72000,0.00273973,0.94195,C,0.5474,0.01,0
108000,0.769863,1.3601,P,0.3989,0.398369,1
64000,0.194521,0.829507,C,0.4025,0.400665,1
55000,0.0219178,0.718764,P,0.7766,0.744696,1
130000,0.271233,1.6782,P,0.4619,0.459649,1
106000,0.271233,1.36837,C,0.3944,0.393102,1
72000,0.0410959,0.940112,C,0.3297,0.322728,1
30000,0.271233,0.387278,C,0.7837,0.01,0
75000,0.194521,0.972078,P,0.3583,0.356634,1
180000,0.271233,2.32367,C,0.5935,0.59154,1
74000,0.0219178,0.967053,P,0.304,0.291534,1
106000,0.271233,1.36837,P,0.3944,0.393087,1
94000,0.117808,1.22278,C,0.3576,0.354972,1
88000,0.520548,1.12192,P,0.3781,0.377433,1
57000,0.117808,0.741472,P,0.49,0.486342,1
